requirement_id,requirement,prepare,detailed_design,uiux,api,error_handling,testable,status_before_fix,status_after_fix,g1_ids
FR-A08,"Billing, payment receipts, and reminders",BIZ-21;BIZ-22,DD-A08,SCR-A08,operation-catalog (Repository),D01/D04/IR37/IR90/IR92,AT-A08-N;AT-A08-E;AT-A08-B;AT-A08-R01,OK,OK,
FR-A09,"Advance notice, restrictions, and release after payment",BIZ-21,DD-A09,SCR-A09,operation-catalog (Repository),D01/D04/IR37/IR90/IR102,AT-A09-N;AT-A09-E;AT-A09-B;AT-A09-R01,INCOMPLETE,OK,G1-029
FR-A10,"Deferrals, exemptions, manual release, and audit",BIZ-21,DD-A10,SCR-A10,operation-catalog (Repository),D01/D04/IR37/IR87/IR96/IR97,AT-A10-N;AT-A10-E;AT-A10-B,INCOMPLETE,OK,G1-003;G1-013;G1-019
FR-A11,Automatic operation policies,BIZ-14;BIZ-16;BIZ-17,DD-A11,SCR-A11,operation-catalog (Repository),D01/D04/IR37/IR90/IR92/IR97,AT-A11-N;AT-A11-E;AT-A11-B;AT-A11-R01,INCOMPLETE,OK,G1-009
FR-A12,Air environment policies,BIZ-18;BIZ-19,DD-A12,SCR-A12,operation-catalog (Repository),D01/D04/IR37/IR90/IR92/IR97/IR98,AT-A12-N;AT-A12-E;AT-A12-B,INCOMPLETE,OK,G1-005;G1-006;G1-009
FR-A13,Energy-saving analysis,BIZ-23;BIZ-25,DD-A13,SCR-A13,operation-catalog (Repository),D01/D04/IR37/IR78/IR90/IR92/IR97,AT-A13-N;AT-A13-E;AT-A13-B,INCOMPLETE,OK,G1-004
FR-A14,Digital MRV demo,BIZ-25,DD-A14,SCR-A14,operation-catalog (Repository),D01/D04/IR37/IR87/IR88/IR92/IR97/IR102,AT-A14-N;AT-A14-E;AT-A14-B;AT-A14-R01,INCOMPLETE,OK,G1-004;G1-020
FR-A15,Offset demo,BIZ-24;BIZ-26,DD-A15,SCR-A15,operation-catalog (Repository),D01/D04/IR37/IR102,AT-A15-N;AT-A15-E;AT-A15-B,INCOMPLETE,OK,G1-024
FR-A16,Abnormal operations and audit,BIZ-20,DD-A16,SCR-A16,operation-catalog (Repository),D01/D04/IR37/IR90,AT-A16-N;AT-A16-E;AT-A16-B,OK,OK,
FR-X01,"Sign in, sign out, reset password, select demo role, and select display language",BIZ-01;BIZ-02,DD-COMMON,SCR-X-login;SCR-X-forgot-password;SCR-X-settings-preferences,operation-catalog (Repository),D01/D04/IR37/IR79/IR82/IR90/IR101,AT-X01,INCOMPLETE,OK,G1-025
FR-X02,"Use the selected language for voice status checks, operations, and help (operating instructions). The same actions are available through text input.",BIZ-03,DD-COMMON,UX-COMMON,operation-catalog (Repository),D01/D04/IR37/IR90/IR101,AT-X02,INCOMPLETE,OK,G1-025
FR-X03,"Clearly distinguish severity, measured and estimated values, inspection results, data quality, and units.",BIZ-09;BIZ-18,DD-COMMON,UX-COMMON,operation-catalog (Repository),D01/D04/IR37/IR77/IR90/IR101,AT-X03,INCOMPLETE,OK,G1-025
FR-X04,"Limit what users can view and operate based on tenant, role, assigned scope, period, and capability.",BIZ-04,DD-COMMON,SCR-X-forbidden;SCR-X-not-found,operation-catalog (Repository),D01/D04/IR37/IR76/IR90/IR94/IR101/IR102,AT-X04,CONFLICT,OK,G1-001;G1-012;G1-025
FR-X05,"Clearly distinguish shared demo data, data reset, and real processing.",BIZ-05,DD-COMMON,SCR-X-demo,operation-catalog (Repository),D01/D04/IR37/IR77/IR91/IR101/IR102,AT-X05,INCOMPLETE,OK,G1-025;G1-028
FR-X06,Distinguish supported features and handling of non-RTO contracts (contracts other than RTO).,BIZ-05;BIZ-06;BIZ-12;BIZ-19,DD-COMMON,UX-COMMON,operation-catalog (Repository),D01/D04/IR37/IR101,AT-X06,INCOMPLETE,OK,G1-025
FR-X07,"Provide notification, history, and audit mechanisms.",BIZ-08;BIZ-20;BIZ-22,DD-COMMON,SCR-X-notifications,operation-catalog (Repository),D01/D04/IR37/IR82/IR90/IR95/IR101,AT-X07,INCOMPLETE,OK,G1-002;G1-025
NFR-01,Accessibility (keyboard; WCAG 2.2 AA target),BIZ-05,DD-COMMON;UX-COMMON,UX-COMMON,operation-catalog (Repository),D01/D04/IR37/IR79/IR83/IR90,AT-NFR01,OK,OK,
NFR-02,Responsive layout (360–1440px; 200% zoom),BIZ-05,DD-COMMON;UX-COMMON,UX-COMMON,operation-catalog (Repository),D01/D04/IR37,AT-NFR02,OK,OK,
NFR-03,"Fictional data, no sensitive output, and confirmation of risky actions",BIZ-05,DD-COMMON;UX-COMMON,UX-COMMON,operation-catalog (Repository),D01/D04/IR37,AT-NFR03,OK,OK,
NFR-04,Performance targets (200ms/2 seconds),BIZ-05,DD-COMMON;UX-COMMON,UX-COMMON,operation-catalog (Repository),D01/D04/IR37,AT-NFR04,OK,OK,
NFR-05,"State display, duplicate-submission prevention, and input retention",BIZ-05,DD-COMMON;UX-COMMON,UX-COMMON,operation-catalog (Repository),D01/D04/IR37/IR76/IR83/IR90/IR97/IR102,AT-NFR05,INCOMPLETE,OK,G1-016;G1-028;G1-031
NFR-06,Asynchronous interfaces and mock replacement,BIZ-05,DD-COMMON;UX-COMMON,UX-COMMON,operation-catalog (Repository),D01/D04/IR37/IR90,AT-NFR06,OK,OK,
NFR-07,"Type checks, lint, build, unit/E2E tests, and evidence",BIZ-05,DD-COMMON;UX-COMMON,UX-COMMON,operation-catalog (Repository),D01/D04/IR37/IR75/IR81/IR91,AT-NFR07,OK,OK,
NFR-08,"Translation keys, Intl, and UTC storage",BIZ-02,DD-COMMON;UX-COMMON,UX-COMMON,operation-catalog (Repository),D01/D04/IR37,AT-NFR08,OK,OK,
